time,open,high,low,close,tick_volume,spread
2025-01-02 00:00:00,1.03516,1.03581,1.03477,1.03565,1602,3e-05
2025-01-02 01:00:00,1.03566,1.03576,1.03464,1.03509,2458,0.0
2025-01-02 02:00:00,1.03508,1.03566,1.03473,1.0352,2848,0.0
2025-01-02 03:00:00,1.03521,1.0360800000000001,1.03442,1.03579,5883,0.0
2025-01-02 04:00:00,1.03579,1.03715,1.03577,1.03711,2385,0.0
2025-01-02 05:00:00,1.03712,1.03744,1.03682,1.03716,2362,0.0
2025-01-02 06:00:00,1.03719,1.03758,1.03665,1.03694,1997,0.0
2025-01-02 07:00:00,1.03694,1.03708,1.03618,1.03639,1728,0.0
2025-01-02 08:00:00,1.03638,1.0365199999999999,1.03599,1.03638,2883,0.0
2025-01-02 09:00:00,1.03636,1.03724,1.03624,1.03629,5298,0.0
2025-01-02 10:00:00,1.03629,1.03709,1.03463,1.03629,9998,0.0
2025-01-02 11:00:00,1.03629,1.03705,1.03494,1.03517,6787,0.0
2025-01-02 12:00:00,1.03517,1.0357,1.03136,1.03168,12119,0.0
2025-01-02 13:00:00,1.03167,1.03343,1.03149,1.03323,8546,0.0
2025-01-02 14:00:00,1.03324,1.03345,1.03148,1.03184,8635,0.0
2025-01-02 15:00:00,1.03183,1.03298,1.03107,1.03134,18138,0.0
2025-01-02 16:00:00,1.03134,1.03239,1.03021,1.03061,12507,0.0
2025-01-02 17:00:00,1.03061,1.03089,1.02725,1.0274,18543,0.0
2025-01-02 18:00:00,1.02741,1.02763,1.02241,1.02613,26183,0.0
2025-01-02 19:00:00,1.02612,1.02682,1.02512,1.02649,10683,0.0
2025-01-02 20:00:00,1.02651,1.02663,1.02557,1.02564,6027,0.0
2025-01-02 21:00:00,1.02565,1.02597,1.02479,1.02512,4444,0.0
2025-01-02 22:00:00,1.02512,1.02646,1.02507,1.02613,3118,0.0
2025-01-02 23:00:00,1.02613,1.02684,1.02561,1.02566,1850,0.0
2025-01-03 00:00:00,1.02564,1.02672,1.02541,1.02657,2094,3e-05
2025-01-03 01:00:00,1.02653,1.02683,1.02645,1.02678,1540,0.0
2025-01-03 02:00:00,1.02679,1.02737,1.02658,1.02729,1967,0.0
2025-01-03 03:00:00,1.0273,1.0273,1.02665,1.02675,2440,0.0
2025-01-03 04:00:00,1.02674,1.02747,1.02667,1.02724,2535,0.0
2025-01-03 05:00:00,1.02725,1.02745,1.02688,1.02707,1737,0.0
2025-01-03 06:00:00,1.02707,1.0271,1.02672,1.02697,1407,0.0
2025-01-03 07:00:00,1.02698,1.02736,1.02647,1.02718,2193,0.0
2025-01-03 08:00:00,1.02717,1.02794,1.02717,1.02792,2125,0.0
2025-01-03 09:00:00,1.02792,1.02849,1.02687,1.02807,9525,0.0
2025-01-03 10:00:00,1.02808,1.02883,1.02728,1.02804,7974,0.0
2025-01-03 11:00:00,1.02803,1.03,1.02802,1.02902,7123,0.0
2025-01-03 12:00:00,1.02902,1.02939,1.02792,1.02813,5138,0.0
2025-01-03 13:00:00,1.02814,1.03029,1.02813,1.02974,5696,0.0
2025-01-03 14:00:00,1.02973,1.03012,1.02943,1.02956,5595,0.0
2025-01-03 15:00:00,1.02956,1.03002,1.02914,1.02931,6611,0.0
2025-01-03 16:00:00,1.02932,1.03025,1.02879,1.03003,7090,0.0
2025-01-03 17:00:00,1.03003,1.03059,1.0273,1.02892,16043,0.0
2025-01-03 18:00:00,1.02892,1.02999,1.02835,1.02909,7191,0.0
2025-01-03 19:00:00,1.0291,1.03058,1.0291,1.0298,6566,0.0
2025-01-03 20:00:00,1.02979,1.03023,1.02925,1.02973,4867,0.0
2025-01-03 21:00:00,1.02973,1.03061,1.02938,1.03012,3779,0.0
2025-01-03 22:00:00,1.03012,1.03076,1.02988,1.03058,3474,0.0
2025-01-03 23:00:00,1.03057,1.03098,1.03046,1.0307,1633,1e-05
2025-01-06 00:00:00,1.03021,1.03075,1.02972,1.03021,765,0.0
2025-01-06 01:00:00,1.03014,1.0308,1.03011,1.03052,1951,0.0
2025-01-06 02:00:00,1.03053,1.03054,1.02955,1.0303,3336,0.0
2025-01-06 03:00:00,1.0303,1.03136,1.03013,1.03123,4091,0.0
2025-01-06 04:00:00,1.03123,1.03179,1.03108,1.03161,3108,0.0
2025-01-06 05:00:00,1.03161,1.03184,1.03131,1.03164,2369,0.0
2025-01-06 06:00:00,1.03163,1.03176,1.03128,1.03153,1551,0.0
2025-01-06 07:00:00,1.03153,1.03182,1.03085,1.03088,2388,0.0
2025-01-06 08:00:00,1.03089,1.03167,1.03078,1.03128,3280,0.0
2025-01-06 09:00:00,1.03127,1.03284,1.03099,1.03273,5631,0.0
2025-01-06 10:00:00,1.03274,1.03525,1.03266,1.03502,9686,0.0
2025-01-06 11:00:00,1.03501,1.0369,1.03401,1.03556,14744,0.0
2025-01-06 12:00:00,1.03557,1.03581,1.03351,1.03351,6217,0.0
2025-01-06 13:00:00,1.0335,1.04328,1.03286,1.04216,31251,0.0
2025-01-06 14:00:00,1.04217,1.04307,1.03921,1.04108,15928,0.0
2025-01-06 15:00:00,1.04109,1.0437,1.04044,1.04169,17463,0.0
2025-01-06 16:00:00,1.04169,1.04239,1.0352999999999999,1.03927,34801,0.0
2025-01-06 17:00:00,1.03927,1.0399,1.03713,1.03935,24865,0.0
2025-01-06 18:00:00,1.03934,1.0403,1.03854,1.03968,12162,0.0
2025-01-06 19:00:00,1.03968,1.03968,1.03792,1.03874,6604,0.0
2025-01-06 20:00:00,1.03874,1.03893,1.03771,1.03819,6365,0.0
2025-01-06 21:00:00,1.03819,1.03918,1.03789,1.03884,5627,0.0
2025-01-06 22:00:00,1.03884,1.03921,1.03856,1.03877,3609,0.0
2025-01-06 23:00:00,1.03877,1.03922,1.0386,1.03895,1995,0.0
2025-01-07 00:00:00,1.03812,1.03932,1.03798,1.039,1046,3e-05
2025-01-07 01:00:00,1.03899,1.03909,1.03816,1.03833,1119,0.0
2025-01-07 02:00:00,1.03833,1.03855,1.03772,1.03845,2904,0.0
2025-01-07 03:00:00,1.03844,1.03849,1.03761,1.03811,3571,0.0
2025-01-07 04:00:00,1.03812,1.03855,1.038,1.03823,2429,0.0
2025-01-07 05:00:00,1.03824,1.0393,1.038,1.03928,1869,0.0
2025-01-07 06:00:00,1.03928,1.03944,1.03904,1.03917,1557,0.0
2025-01-07 07:00:00,1.03918,1.04033,1.03909,1.03967,2513,0.0
2025-01-07 08:00:00,1.03966,1.04042,1.03963,1.03975,2836,0.0
2025-01-07 09:00:00,1.03976,1.04246,1.03976,1.04147,10777,0.0
2025-01-07 10:00:00,1.04148,1.04255,1.04032,1.04253,9601,0.0
2025-01-07 11:00:00,1.0425200000000001,1.04344,1.04241,1.04277,7573,0.0
2025-01-07 12:00:00,1.04278,1.04344,1.04166,1.04279,8437,0.0
2025-01-07 13:00:00,1.04279,1.04284,1.04051,1.04135,6616,0.0
2025-01-07 14:00:00,1.04134,1.04172,1.03872,1.03892,9493,0.0
2025-01-07 15:00:00,1.03893,1.04053,1.03866,1.03965,8856,0.0
2025-01-07 16:00:00,1.03966,1.03977,1.03892,1.03936,8395,0.0
2025-01-07 17:00:00,1.03936,1.03947,1.03551,1.03727,21215,0.0
2025-01-07 18:00:00,1.03728,1.03816,1.03627,1.03683,16236,0.0
2025-01-07 19:00:00,1.03683,1.03738,1.03536,1.03671,10401,0.0
2025-01-07 20:00:00,1.0367,1.03694,1.03493,1.03544,7232,0.0
2025-01-07 21:00:00,1.03544,1.03597,1.03523,1.03554,3961,0.0
2025-01-07 22:00:00,1.03553,1.03562,1.0344,1.03443,3571,0.0
2025-01-07 23:00:00,1.03442,1.03442,1.03393,1.03401,1593,1e-05
2025-01-08 00:00:00,1.03384,1.03429,1.03384,1.03424,545,3e-05
2025-01-08 01:00:00,1.03422,1.03449,1.03392,1.03415,1482,0.0
2025-01-08 02:00:00,1.03416,1.03494,1.03416,1.03467,3202,0.0
2025-01-08 03:00:00,1.03468,1.03531,1.03452,1.03529,2742,0.0
2025-01-08 04:00:00,1.0352999999999999,1.03548,1.03514,1.03542,1704,0.0
2025-01-08 05:00:00,1.03541,1.03542,1.03463,1.03478,1594,0.0
2025-01-08 06:00:00,1.03477,1.03522,1.03474,1.03513,1535,0.0
